Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.494981098175049
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.5422315917015075
MathRAG-Gate (Ours),0.8699999999999999,0.012247448713915901,1.0,0.0,4.533836117267609
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.444320882797241
