Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.443337383270264
Sparse Retrieval (BM25),0.85,0.99,4.39436615228653
Hybrid Retrieval (RRF),0.81,1.0,4.493107378482819
MathRAG-Gate (Ours),0.86,1.0,4.493141989707947
