Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.447596247196198
Sparse Retrieval (BM25),0.85,0.99,4.396314914226532
Hybrid Retrieval (RRF),0.81,1.0,4.492535643577575
MathRAG-Gate (Ours),0.87,1.0,4.469652619361877
