Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.4456887888908385
Sparse Retrieval (BM25),0.85,0.99,4.3972037982940675
Hybrid Retrieval (RRF),0.81,1.0,4.493080270290375
MathRAG-Gate (Ours),0.89,1.0,4.435936081409454
