Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.447157022953033
Sparse Retrieval (BM25),0.85,0.99,4.395382006168365
Hybrid Retrieval (RRF),0.81,1.0,4.492138934135437
MathRAG-Gate (Ours),0.86,1.0,4.740244147777557
