Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.385333077907562
Sparse Retrieval (BM25),0.85,0.99,4.336907389163971
Hybrid Retrieval (RRF),0.81,1.0,4.43132981300354
MathRAG-Gate (Ours),0.85,1.0,4.42719673871994
