Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.384950485229492
Sparse Retrieval (BM25),0.85,0.99,4.336704611778259
Hybrid Retrieval (RRF),0.81,1.0,4.4314057469367985
MathRAG-Gate (Ours),0.87,1.0,4.504205265045166
