Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.385030455589295
Sparse Retrieval (BM25),0.85,0.99,4.336273419857025
Hybrid Retrieval (RRF),0.81,1.0,4.431749317646027
MathRAG-Gate (Ours),0.86,1.0,4.444414110183716
