Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.501263387203217
Sparse Retrieval (BM25),0.85,0.99,4.335443174839019
Hybrid Retrieval (RRF),0.81,1.0,4.51580587387085
MathRAG-Gate (Ours),0.87,1.0,4.604608800411224
