Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.499809572696686
Sparse Retrieval (BM25),0.85,0.99,4.337784366607666
Hybrid Retrieval (RRF),0.81,1.0,4.430740792751312
MathRAG-Gate (Ours),0.86,1.0,4.426228914260864
