Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.473463430404663
Sparse Retrieval (BM25),0.85,0.99,4.412981505393982
Hybrid Retrieval (RRF),0.81,1.0,4.5616554307937625
MathRAG-Gate (Ours),0.85,1.0,4.523368036746978
