Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.694766051769257
Sparse Retrieval (BM25),0.85,0.99,4.621219291687011
Hybrid Retrieval (RRF),0.81,1.0,4.589984610080719
MathRAG-Gate (Ours),0.87,1.0,4.453223950862885
