Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.544583134651184
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.527881594657898
MathRAG-Gate (Ours),0.8619999999999999,0.008366600265340746,1.0,0.0,4.529647992134095
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.480575321674347
