Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.552846665382385
Sparse Retrieval (BM25),0.85,0.99,4.430361552238464
Hybrid Retrieval (RRF),0.81,1.0,4.434560623168945
MathRAG-Gate (Ours),0.86,1.0,4.502299861907959
