Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.469543213844299
Sparse Retrieval (BM25),0.85,0.99,4.40612181186676
Hybrid Retrieval (RRF),0.81,1.0,4.514071514606476
MathRAG-Gate (Ours),0.86,1.0,4.640654351711273
