Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.44984263420105
Sparse Retrieval (BM25),0.85,0.99,4.402829968929291
Hybrid Retrieval (RRF),0.81,1.0,4.49919243812561
MathRAG-Gate (Ours),0.88,1.0,4.437370193004608
