Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.452369682788849
Sparse Retrieval (BM25),0.85,0.99,4.403499083518982
Hybrid Retrieval (RRF),0.81,1.0,4.501243789196014
MathRAG-Gate (Ours),0.87,1.0,4.498680212497711
