Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.4555355429649355
Sparse Retrieval (BM25),0.85,0.99,4.40705207824707
Hybrid Retrieval (RRF),0.81,1.0,4.635370175838471
MathRAG-Gate (Ours),0.87,1.0,4.70539740562439
