Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.503279232978821
Sparse Retrieval (BM25),0.85,0.99,4.4250872254371645
Hybrid Retrieval (RRF),0.81,1.0,4.577415797710419
MathRAG-Gate (Ours),0.86,1.0,4.5850473046302795
