Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.457372677326203
Sparse Retrieval (BM25),0.85,0.99,4.339227426052093
Hybrid Retrieval (RRF),0.81,1.0,4.435319063663482
MathRAG-Gate (Ours),0.88,1.0,4.435901556015015
