Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.381771123409271
Sparse Retrieval (BM25),0.85,0.99,4.3836504530906675
Hybrid Retrieval (RRF),0.81,1.0,4.601369578838348
MathRAG-Gate (Ours),0.86,1.0,4.487694489955902
