Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.413795771598816
Sparse Retrieval (BM25),0.85,0.99,4.3331558537483215
Hybrid Retrieval (RRF),0.81,1.0,4.425250911712647
MathRAG-Gate (Ours),0.88,1.0,4.411608834266662
