Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.382751834392548
Sparse Retrieval (BM25),0.85,0.99,4.3312153100967405
Hybrid Retrieval (RRF),0.81,1.0,4.427008423805237
MathRAG-Gate (Ours),0.87,1.0,4.442953679561615
