Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.38250025510788
Sparse Retrieval (BM25),0.85,0.99,4.333953433036804
Hybrid Retrieval (RRF),0.81,1.0,4.427566912174225
MathRAG-Gate (Ours),0.87,1.0,4.4381175088882445
