Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.7886594295501705
Sparse Retrieval (BM25),0.85,0.99,4.734274723529816
Hybrid Retrieval (RRF),0.81,1.0,4.801464648246765
MathRAG-Gate (Ours),0.86,1.0,4.788859794139862
