Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.487584024906158
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.530880357265472
MathRAG-Gate (Ours),0.868,0.008366600265340755,1.0,0.0,4.524652022361755
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.45200893497467
