Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.383610682487488
Sparse Retrieval (BM25),0.85,0.99,4.334805624485016
Hybrid Retrieval (RRF),0.81,1.0,4.42727593421936
MathRAG-Gate (Ours),0.87,1.0,4.428489892482758
