Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.3885781035423275
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.427242565155029
MathRAG-Gate (Ours),0.8640000000000001,0.005477225575051679,1.0,0.0,4.434058933734894
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.332701117515564
