Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.411486012935638
Sparse Retrieval (BM25),0.85,0.99,4.331619408130646
Hybrid Retrieval (RRF),0.81,1.0,4.426561524868012
MathRAG-Gate (Ours),0.86,1.0,4.450676102638244
