Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.379990541934967
Sparse Retrieval (BM25),0.85,0.99,4.331994409561157
Hybrid Retrieval (RRF),0.81,1.0,4.427543973922729
MathRAG-Gate (Ours),0.86,1.0,4.461569104194641
