Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.3856640768051145
Sparse Retrieval (BM25),0.85,0.99,4.332318265438079
Hybrid Retrieval (RRF),0.81,1.0,4.427053415775299
MathRAG-Gate (Ours),0.87,1.0,4.433899228572845
