Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.382139203548431
Sparse Retrieval (BM25),0.85,0.99,4.332767879962921
Hybrid Retrieval (RRF),0.81,1.0,4.427777976989746
MathRAG-Gate (Ours),0.86,1.0,4.39566034078598
