Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.399257128238678
Sparse Retrieval (BM25),0.85,0.99,4.348841509819031
Hybrid Retrieval (RRF),0.81,1.0,4.4429870080947875
MathRAG-Gate (Ours),0.85,1.0,4.460239455699921
