Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.397765650749206
Sparse Retrieval (BM25),0.85,0.99,4.3468190813064576
Hybrid Retrieval (RRF),0.81,1.0,4.44514664888382
MathRAG-Gate (Ours),0.87,1.0,4.45510576248169
