Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.397959764003754
Sparse Retrieval (BM25),0.85,0.99,4.348964767456055
Hybrid Retrieval (RRF),0.81,1.0,4.4452219128608705
MathRAG-Gate (Ours),0.86,1.0,4.4321409034729005
