Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.398849567890167
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.445532636642456
MathRAG-Gate (Ours),0.8640000000000001,0.008944271909999154,1.0,0.0,4.443878529548646
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.351460698604583
