Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.398556609153747
Sparse Retrieval (BM25),0.85,0.99,4.36240583896637
Hybrid Retrieval (RRF),0.81,1.0,4.444331383705139
MathRAG-Gate (Ours),0.87,1.0,4.482640755176544
