Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.611469147205352
Sparse Retrieval (BM25),0.85,0.99,4.5585375189781185
Hybrid Retrieval (RRF),0.81,1.0,4.658822400569916
MathRAG-Gate (Ours),0.88,1.0,4.686781005859375
