Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.6171349778175355
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.664170798301697
MathRAG-Gate (Ours),0.8640000000000001,0.008944271909999175,1.0,0.0,4.668475542545318
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.564440178394317
