Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.621533398628235
Sparse Retrieval (BM25),0.85,0.99,4.568975467681884
Hybrid Retrieval (RRF),0.81,1.0,4.667779881954193
MathRAG-Gate (Ours),0.86,1.0,4.685787372589111
