Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.616290123462677
Sparse Retrieval (BM25),0.85,0.99,4.563661470413208
Hybrid Retrieval (RRF),0.81,1.0,4.661710426807404
MathRAG-Gate (Ours),0.86,1.0,4.646412034034729
