Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.617967450618744
Sparse Retrieval (BM25),0.85,0.99,4.566258835792541
Hybrid Retrieval (RRF),0.81,1.0,4.667063336372376
MathRAG-Gate (Ours),0.86,1.0,4.682970190048218
