Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.530191576480865
Sparse Retrieval (BM25),0.85,0.99,4.477366714477539
Hybrid Retrieval (RRF),0.81,1.0,4.5780336594581605
MathRAG-Gate (Ours),0.86,1.0,4.562333891391754
