Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.519387860298156
Sparse Retrieval (BM25),0.85,0.99,4.465341837406158
Hybrid Retrieval (RRF),0.81,1.0,4.563676629066467
MathRAG-Gate (Ours),0.87,1.0,4.64548495054245
