Method,Accuracy_Mean,Accuracy_Std,Recall_Mean,Recall_Std,Latency_Mean
Dense Retrieval,0.86,0.0,1.0,0.0,4.643104724407197
Hybrid Retrieval (RRF),0.8100000000000002,0.0,1.0,0.0,4.648289433956146
MathRAG-Gate (Ours),0.86,0.007071067811865481,1.0,0.0,4.6333537101745605
Sparse Retrieval (BM25),0.85,0.0,0.99,0.0,4.568973528861999
