Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.531960034370423
Sparse Retrieval (BM25),0.85,0.99,4.481600480079651
Hybrid Retrieval (RRF),0.81,1.0,4.57966157913208
MathRAG-Gate (Ours),0.86,1.0,4.644235217571259
