Method,Accuracy (%),Recall@5 (%),Latency (s)
Dense Retrieval,0.86,1.0,4.872627179622651
Sparse Retrieval (BM25),0.85,0.99,4.821793284416199
Hybrid Retrieval (RRF),0.81,1.0,4.9423449206352235
MathRAG-Gate (Ours),0.85,1.0,4.696833004951477
